"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000261889.1",3306.77586331448,4.90883010517725,0.856965024497937,5.72815688487771,1.01527652997189e-08,2.81821839935023e-06
"ENSG00000197943.12",204.891280166372,4.34536409762318,0.49342684632709,8.80650116621879,1.2911275900031e-18,1.00436815226341e-14
"ENSG00000198157.11",488.433312368429,3.85102937922226,0.695603802332964,5.53623969033294,3.09034578238855e-08,6.07833218395324e-06
"ENSG00000260035.1",16025.6262419007,3.78334802114317,0.967277716925223,3.91133586036661,9.17870264422824e-05,0.00267841640659275
"ENSG00000289915.1",52.2698709218576,3.73102424109741,0.603153807490154,6.18585872254204,6.1765306314728e-10,3.53366866134266e-07
"ENSG00000221676.1",34.0995463995806,3.72964223459115,0.660895926381071,5.64331248796447,1.66809185574218e-08,3.93214743812678e-06
"ENSG00000291336.1",158.520051330273,3.64494431578028,0.437896082719924,8.32376552249627,8.52120892250755e-17,3.31432421040931e-13
"ENSG00000169249.14",50.6876884397542,3.60040474098941,0.611610415703698,5.8867616517729,3.93836043019128e-09,1.45888122792657e-06
"ENSG00000159450.13",38.7899592832535,3.51104204242442,1.06232562614645,3.30505257146116,0.000949585865467541,0.015325370222971
"ENSG00000289494.2",81.2530903989435,3.43749697440189,0.660826799421149,5.20181230151829,1.97354492351631e-07,2.64530868723911e-05
"ENSG00000216895.9",26.384372220133,3.36754614297712,0.891944099944041,3.77551254970843,0.000159678984433623,0.00408599611812222
"ENSG00000105559.13",60.3871448741311,3.28299700200418,0.718773050755727,4.56750152019806,4.93572099391825e-06,0.000293091401615955
"ENSG00000200312.1",11.297572852307,3.2806239029093,0.621484810144524,5.27868718488293,1.30112707302658e-07,1.9097108492592e-05
"ENSG00000271933.1",11.6725908550439,3.27803434922304,0.822543795266169,3.98523989614716,6.74119846314716e-05,0.00209759131379287
"ENSG00000236444.5",22.687972756343,3.27654686461785,0.888357660580256,3.68831947987895,0.000225740098048819,0.00528925368289687
"ENSG00000135976.21",39.4511073887981,3.16362315165795,1.20293669246205,2.62991657955248,0.00854058225449985,0.0722143362584286
"ENSG00000287001.3",145722.116765226,3.01091118709081,0.995899499052263,3.02330826549878,0.00250027409945817,0.0311692824033416
"ENSG00000242028.8",93.3812315020524,3.00081896442685,0.60740062877056,4.94042782026882,7.7951345479176e-07,7.39492093271354e-05
"ENSG00000199990.1",130.783583763245,2.99354853925966,0.663405353797516,4.51239731805563,6.4098968904824e-06,0.000353635375255763
"ENSG00000169062.15",208.179105027295,2.98309705078204,0.509814805971221,5.85133467259568,4.87643859943858e-09,1.72426435750149e-06
"ENSG00000196235.14",973.732578938283,2.9816380724632,0.391377967744549,7.61830843377803,2.57021567775585e-14,6.66456925242092e-11
"ENSG00000164099.3",17.2114494508973,2.96564846343811,0.73648434075619,4.0267637739495,5.65497943980782e-05,0.00184058933314917
"ENSG00000080371.6",135.862973712234,2.93850278226789,0.530728436145055,5.53673514012495,3.08162024562109e-08,6.07833218395324e-06
"ENSG00000165810.17",16.5532842398377,2.91518923420122,0.700415199247461,4.16208734095627,3.15351680452558e-05,0.00122045807076639
"ENSG00000255046.1",35.3041746685717,2.91060629678254,0.738641620408135,3.94048509637771,8.13170029116698e-05,0.00245180219244139
"ENSG00000143401.15",1016.12315347781,2.89042695718441,0.500715011683738,5.77259896296072,7.805807100337e-09,2.35753107809292e-06
"ENSG00000259781.1",503.585780119505,2.85503340517311,0.499029482225918,5.7211718082031,1.05791850130593e-08,2.81821839935023e-06
"ENSG00000116754.14",138.312970329763,2.84907556738937,0.501238374275825,5.68407311492389,1.31524004410237e-08,3.30040396873301e-06
"ENSG00000235831.8",14.1213937235628,2.84718735281215,0.692859194874069,4.10933040057243,3.968080112861e-05,0.00144918756797867
"ENSG00000277149.5",12.4379029059786,2.80729774716424,0.853678429282439,3.28847215868383,0.00100732747001235,0.016024540673264
"ENSG00000213144.2",24.7258572849504,2.79621764973994,0.700487306899252,3.99181772774379,6.55687630356688e-05,0.00205379985257252
"ENSG00000178977.4",489.357405888246,2.7812724515258,0.884916984243678,3.14297555708336,0.00167239804707747,0.0230177767328196
"ENSG00000289854.1",9.19199776639802,2.76900241398074,0.746553539928967,3.70904733000691,0.000208040540207632,0.00496425571250051
"ENSG00000161671.17",73.3812354481076,2.7233074735875,0.506844689835409,5.37306107413665,7.74110943467789e-08,1.30908891939911e-05
"ENSG00000234616.9",18.3836483082331,2.71922446662635,0.833739402515632,3.26148009608478,0.00110832213187002,0.0171745774179619
"ENSG00000146833.16",18.5501492019216,2.70862011821034,0.690261318507191,3.92405027717358,8.70725512206564e-05,0.00257542728496383
"ENSG00000204104.12",62.7194377251484,2.68448609022269,0.548880926135063,4.89083508353162,1.00409067051921e-06,8.5946843380313e-05
"ENSG00000119707.14",394.983491194472,2.67973951383214,0.481178010915619,5.56912297121171,2.56024751203383e-08,5.38274740435437e-06
"ENSG00000245685.9",8.427647378061,2.67589309822962,0.792841058107238,3.37506877433646,0.000737972460836225,NA
"ENSG00000167740.10",942.997311897395,2.66805914325362,0.702826332279405,3.79618551655652,0.000146939556156846,0.00382288564329132
"ENSG00000247774.9",34.369119074824,2.64184422250464,0.437063618810071,6.04453015260615,1.49846029537753e-09,6.85677802220108e-07
"ENSG00000269053.1",57.8062269122153,2.63304945126511,1.08333444847847,2.43050468390735,0.0150778111671097,0.104536803091752
"ENSG00000272894.5",10.8635748853575,2.61783556978295,0.614986284651736,4.25673813403078,2.07431077137337e-05,0.000872219648135864
"ENSG00000063180.9",31.7110112368611,2.60989770843145,0.631260382524152,4.13442341810765,3.55846885250052e-05,0.0013503087416391
"ENSG00000119335.18",1754.606881783,2.60270771297617,0.541105720502282,4.80998003599039,1.50945371213942e-06,0.000119816739048291
"ENSG00000240869.3",9.19486687057277,2.57284415648919,0.678213072808409,3.7935632025424,0.000148500809936111,0.00383138405677503
"ENSG00000188315.8",11.534854612524,2.5521359047634,0.735402889493405,3.47039145647291,0.000519700345340725,0.009960848245304
"ENSG00000072501.19",634.948399603055,2.54892201572263,0.386898125962131,6.5880960508248,4.45502420154057e-11,6.93112665275682e-08
"ENSG00000162614.19",15.1867260625452,2.53991320723029,0.922888433152747,2.75213461994914,0.00592081762528091,0.0564436768468875
"ENSG00000164221.13",13.3231771923313,2.53477174675982,0.722596618164757,3.50786549928452,0.000451717367465959,0.0089640545957084
"ENSG00000153140.9",25.1401436398191,2.52807065828882,0.578746490817761,4.36818313095374,1.25284422244158e-05,0.000580100508943074
"ENSG00000151461.20",323.694991744524,2.52486525683556,0.506624871512538,4.98369779852601,6.23804818024315e-07,6.47010357254819e-05
"ENSG00000113460.13",84.2517206708006,2.52152399489946,0.452616254845563,5.57099743525523,2.53285057477295e-08,5.38274740435437e-06
"ENSG00000132522.16",474.717043602254,2.51958026789692,0.432461723931365,5.82613472700487,5.67258275572128e-09,1.91856614159808e-06
"ENSG00000260464.1",10.8680292702598,2.50650112089239,0.845570312170509,2.96427285208064,0.00303399140232307,0.0356516905115878
"ENSG00000178971.17",186.484999061185,2.49005059972522,0.576465430268349,4.3195141789614,1.5637306222753e-05,0.000691151165379523
"ENSG00000224843.8",33.4128035684616,2.48993736186748,0.820837231868042,3.03341182051518,0.00241805367457766,0.0304369571756304
"ENSG00000228253.1",362.125879561568,2.48924368589196,0.40218003113901,6.18937663026731,6.04026052867273e-10,3.53366866134266e-07
"ENSG00000273080.2",16.8843197386884,2.48863060687052,0.748666365716185,3.32408496071525,0.000887091661499932,0.0146057576367903
"ENSG00000288814.1",7.870589107768,2.48091660911509,0.796443038336138,3.11499566158304,0.0018394761535548,NA
"ENSG00000158417.12",269.430257813754,2.4806195241619,0.393393209053607,6.30569991314687,2.8689442628159e-10,3.18821677434927e-07
"ENSG00000202111.1",80.618737340399,2.46884369105394,0.604481884552298,4.08423106489363,4.42230097570029e-05,0.00156432429287134
"ENSG00000270872.2",13.5661804072741,2.4580730426306,0.703992611971293,3.49161766875308,0.000480104940056888,0.00936024142531962
"ENSG00000005339.15",105.222488132518,2.43436422225041,0.400465656857107,6.07883392887054,1.21059656814734e-09,5.88576918976134e-07
"ENSG00000285053.1",155.881605658397,2.43387538345251,0.48548795050919,5.01325600542672,5.3516617518171e-07,5.62575361721421e-05
"ENSG00000273734.1",33.9500215359758,2.43009772399168,0.715784018500772,3.39501534147351,0.000686247550850772,0.0122438525185049
"ENSG00000165632.9",61.5894107142552,2.41551030897949,0.41747908497346,5.78594328655542,7.21065405293736e-09,2.33715324490832e-06
"ENSG00000032219.19",73.8920163721905,2.41170379073713,0.558594454595992,4.31745029134135,1.57841940666113e-05,0.000693701952791918
"ENSG00000167670.16",133.228800779485,2.40977340583433,0.518810049411567,4.64480865119612,3.40391798910318e-06,0.000224398966417234
"ENSG00000284607.1",58.6350130347303,2.40280733931358,1.17162992996881,2.0508244778089,0.0402840429015158,0.196840181991766
"ENSG00000074356.17",94.8353442812203,2.39219388950761,0.488775227920424,4.89426172370805,9.86754489136923e-07,8.5946843380313e-05
"ENSG00000225972.1",5.72529061511137,2.38696494987756,0.793719761127922,3.00731450415893,0.0026356692478745,NA
"ENSG00000248333.9",86.5198616106158,2.37803718907356,0.460198606170062,5.16741501862519,2.37353827883564e-07,2.97802488242943e-05
"ENSG00000125351.14",71.4549405111705,2.37626823351958,0.400839353092557,5.92823088647906,3.06215743403815e-09,1.25371171996752e-06
"ENSG00000153015.17",49.5438978000531,2.37400657000943,0.533689342949525,4.44829300298388,8.65554066416394e-06,0.000434396456945363
"ENSG00000113356.13",55.9287937250749,2.37349063613041,0.554477875240007,4.28058673234354,1.86401223043095e-05,0.000794637722308132
"ENSG00000250067.12",34.3004816754761,2.36536401669569,0.621039090929024,3.80872001657302,0.000139688019836695,0.00371971648631166
"ENSG00000230530.2",62.8817466905395,2.35751941466946,0.724626871970424,3.25342532255095,0.00114022690837014,0.0174947241029808
"ENSG00000106344.8",46.1783775356544,2.35730437650332,0.589566901395165,3.99836620903401,6.37812167338183e-05,0.00201688652427794
"ENSG00000267002.4",21.415034616934,2.35705708372194,0.792477111934387,2.97429042205207,0.00293666985295659,0.0349302060950295
"ENSG00000025796.14",118.662720250391,2.35042522771308,0.415028537691536,5.6632858086978,1.48501505551783e-08,3.60997878652289e-06
"ENSG00000160799.12",30.0905620915815,2.33078748476205,0.421156368864986,5.53425676796367,3.12550825759261e-08,6.07833218395324e-06
"ENSG00000111642.16",213.249184003243,2.32528322726555,0.44977203147624,5.16991512263114,2.34200340552381e-07,2.97802488242943e-05
"ENSG00000211584.14",19.5406011205665,2.3238569063635,0.682053676336184,3.40714666160391,0.000656458429134627,0.0119312853276595
"ENSG00000108848.16",388.475579202612,2.32081103840302,0.526239157766737,4.41018309669717,1.03283252835654e-05,0.000495950878894169
"ENSG00000272501.1",8.85172062380519,2.31720855235812,0.888992619426009,2.60655544458205,0.00914580156942132,0.0752068097521696
"ENSG00000165115.15",14.8885406289624,2.30339261617735,0.958785905128605,2.40240558800078,0.0162876383535284,0.109482496875534
"ENSG00000198604.11",216.221665406124,2.29799148011866,0.469381838293503,4.89578269255856,9.79152212629117e-07,8.5946843380313e-05
"ENSG00000293341.1",6.22061431879277,2.29682921841181,0.836527323674465,2.74567148425343,0.0060387198815808,NA
"ENSG00000126653.18",128.576314100694,2.29579583452349,0.457414681329026,5.01906897227919,5.19225066049362e-07,5.53294765588765e-05
"ENSG00000276168.1",162269.717053053,2.28772877199744,0.575282358975365,3.97670593631989,6.9876486684586e-05,0.00215702059491823
"ENSG00000102003.12",37.7785126997366,2.28468924341799,0.46536013267396,4.90950789078162,9.13052261154924e-07,8.35603945826371e-05
"ENSG00000117174.11",75.4816544744872,2.28379498446737,0.387914560017059,5.88736598174334,3.92399133283537e-09,1.45888122792657e-06
"ENSG00000274010.1",20.5779500391245,2.28031617787662,0.875635966329439,2.60418286315423,0.00920936063514026,0.0753308268987972
"ENSG00000291027.1",16.2786979333602,2.27957670227121,0.903413812347757,2.5232918415838,0.0116261869242943,0.0882342517893514
"ENSG00000111846.20",53.0119230725042,2.27148964525554,0.440685446925487,5.15444669458217,2.5438090676218e-07,3.1409985296873e-05
"ENSG00000103995.14",19.903748888907,2.27098966753505,0.62670936859185,3.62367276021056,0.000290449044436617,0.00656803231590827
"ENSG00000202198.1",48350.1416484773,2.26765717746081,0.366860619810209,6.18124992165676,6.35960422403873e-10,3.53366866134266e-07
"ENSG00000111142.14",501.304410912064,2.26442523227413,0.493283159863861,4.59051801585742,4.42147289440584e-06,0.000272973314647485
"ENSG00000117682.18",29.6758042381655,2.26387469090772,0.52894919116197,4.27994735360981,1.86937528194354e-05,0.000794637722308132
