"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WSN_NP",92903.9450492549,21.0668511291681,1.50833255405142,13.9669803403646,2.47917223121131e-44,7.78625358749099e-41
"WSN_NS",56417.8457943966,20.3472851022775,1.51639852350581,13.4181646756263,4.73289683247586e-41,7.4322256592646e-38
"WSN_M",52777.5431738724,20.2510237265852,1.48168765110826,13.667538979243,1.58671306697966e-42,3.7375026292706e-39
"WSN_HA",25044.1048216535,19.1755878922724,1.48234443765538,12.9359866743267,2.81979547452713e-38,3.32101412012433e-35
"WSN_PA",36047.2151975603,18.2601729489505,1.43076568230656,12.7625181221239,2.65478096700733e-37,2.77926069679367e-34
"WSN_PB1",155276.061970244,17.881569701759,0.989803000776623,18.0657865127997,5.92712049101974e-73,2.7922664633194e-69
"WSN_NA",17866.2300973104,17.3197135584726,1.40064881403411,12.3654933234754,4.01737289186466e-35,3.1543072822624e-32
"WSN_PB2",67138.1878079769,17.2210989482596,0.854669438735419,20.149426395473,2.72250139946671e-90,2.56514081857754e-86
"ENSG00000290915.1",205.190845421284,12.2395262936464,1.62422514483863,7.53560941507433,4.86059434856238e-14,7.04561845417765e-12
"ENSG00000253058.1",81.6288878238324,10.9011371512562,1.55721037920834,7.00042672255889,2.55184073741388e-12,2.4286306492842e-10
"ENSG00000284607.1",64.4577586565343,10.5661056228319,1.82092667819261,5.80259806689166,6.52951813845376e-09,2.8578925237646e-07
"ENSG00000286644.1",63.8564379085632,10.5438143651267,1.55992502415329,6.75918021819656,1.38774691080045e-11,1.08060755318693e-09
"ENSG00000157856.12",41.3061794590166,9.91823327155688,1.57914708067942,6.28075332114699,3.36936387840808e-10,1.91241846158801e-08
"ENSG00000173110.8",142.326918767252,9.41442175303073,1.0483387954423,8.98032372164454,2.69971260356449e-19,7.3332855800873e-17
"ENSG00000290068.1",77.5713050815442,9.27376067380525,1.73216179588524,5.35386515037746,8.60950326817318e-08,2.65093920891267e-06
"ENSG00000184368.16",22.7804237381727,9.05704778881448,1.57700321902002,5.74320183977982,9.29028773156035e-09,3.8391706581913e-07
"ENSG00000178217.15",21.8362892244261,8.98791704345976,1.67416774177951,5.36858811644902,7.9355417389969e-08,2.48400911178833e-06
"ENSG00000236444.5",20.1005180281544,8.86940857152297,1.87799309905869,4.72281212107149,2.32605714813659e-06,4.42375989874529e-05
"ENSG00000135114.14",18.8087525313846,8.80595088367615,1.49362531615566,5.89568935959199,3.73120339701232e-09,1.7065727381869e-07
"ENSG00000269053.1",69.0914103173011,8.562510944264,1.69599853480199,5.04865468251345,4.44932139360528e-07,1.09455629688117e-05
"ENSG00000264910.2",41.1235134798699,8.56111685859991,1.55209511064525,5.51584551737995,3.47107065697686e-08,1.20236866654544e-06
"ENSG00000273338.1",15.7870900594385,8.53617186877482,1.56531061301864,5.45334056881731,4.94322659827235e-08,1.66339575031865e-06
"ENSG00000159164.10",15.8570872096673,8.52400957196725,1.53426553640994,5.5557590063013,2.76408013980912e-08,9.94013857911509e-07
"ENSG00000177238.15",14.8097974704049,8.44921334295121,1.5242725065728,5.54311207905244,2.97142529355437e-08,1.06048367863141e-06
"ENSG00000289298.2",14.6752311592306,8.43398371607702,1.50846825058672,5.59109130258236,2.25646882506771e-08,8.37025561802677e-07
"ENSG00000180353.11",14.4420206101899,8.41047336332034,1.67114799418352,5.03275197205347,4.83488494408647e-07,1.16662225009555e-05
"ENSG00000216915.2",14.3236346077274,8.37136883519169,1.62265434343572,5.15905859375238,2.48194634357957e-07,6.56883207249975e-06
"ENSG00000261519.3",12.8699725940036,8.19167980182624,1.67020645876277,4.90459114132174,9.36221433314597e-07,2.02318310658031e-05
