gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
WSN_NP,92903.9450492549,21.0040064232285,1.47319126749588,14.2574877320112,4.02692134270087e-46,3.44850900438566e-43,WSN_NP
WSN_NS,56417.8457943966,20.3195776754617,1.4937331378664,13.6032181119618,3.8319422090653195e-42,2.40645970729302e-39,WSN_NS
WSN_M,52777.5431738724,20.2149070897642,1.45880277268121,13.8571899288415,1.15092438768573e-43,8.33977517846123e-41,WSN_M
WSN_HA,25044.1048216535,19.1713407477792,1.47400328935996,13.0063079819203,1.12654738831931e-38,5.89559799887103e-36,WSN_HA
WSN_PA,36047.2151975603,18.2293527772112,1.43611816820111,12.6934908149275,6.42566627876875e-37,2.7513534702728e-34,WSN_PA
WSN_PB1,155276.061970244,17.7860805164859,1.06141957847459,16.7568800097386,5.04408655207245e-63,9.5030590641045e-60,WSN_PB1
WSN_PB2,67138.1878079769,17.2223105771972,0.83348907076922,20.6629111060843,7.47209809942264e-95,2.3462388032187103e-91,WSN_PB2
WSN_NA,17866.2300973104,17.2070936032424,1.44372642608052,11.9185278404558,9.476828447146849e-33,3.43352784508167e-30,WSN_NA
ENSG00000290915.1,205.190845421284,11.8544488028819,1.4775165337233,8.02322582002454,1.0300374068458301e-15,9.512698404399751e-14,KLKP1
ENSG00000253058.1,81.6288878238324,10.7414200676555,1.48496224139474,7.2334634297278,4.70829279181254e-13,2.7720073811796296e-11,RNA5SP437
ENSG00000286644.1,63.8564379085632,10.3350003606908,1.46839677923914,7.0382886334346,1.94615233696042e-12,1.00729423154764e-10,ENSG00000286644
ENSG00000284607.1,64.4577586565343,9.95034084743653,1.48903763699144,6.68239714043826,2.3506494838272397e-11,9.84138583895671e-10,ENSG00000284607
ENSG00000157856.12,41.3061794590166,9.71905554145112,1.4897045814156,6.52414959495898,6.83884280049633e-11,2.5976572250272302e-09,DRC1
ENSG00000173110.8,142.326918767252,9.43433536965419,1.04627773746163,9.01704684316686,1.93227804859844e-19,2.88921574885671e-17,HSPA6
ENSG00000184368.16,22.7804237381727,8.93131572663827,1.51707214312191,5.88720567253905,3.9277980093906e-09,1.03641056718374e-07,MAP7D2
